id,energy_consumption,energy_effective,energy_waste
0,215037460.0,150705910.0,64331550.0
1,215224433.0,154298430.0,60926003.0
2,217169097.0,156180380.0,60988717.0
3,213790732.0,150810980.0,62979752.0
4,215241628.0,153556290.0,61685338.0
5,213242121.0,151463630.0,61778491.0
6,212999219.0,152277780.0,60721439.0
7,212671247.0,151973780.0,60697467.0
8,211088402.0,150647960.0,60440442.0
9,212362099.0,153294850.0,59067249.0
10,212132410.0,152309700.0,59822710.0
11,212241915.0,152374110.0,59867805.0
12,212835595.0,152576650.0,60258945.0
13,214457536.0,157975310.0,56482226.0
14,213771365.0,158267530.0,55503835.0
15,214063499.0,158706620.0,55356879.0
16,214408123.0,158744620.0,55663503.0
17,213267280.0,158368420.0,54898860.0
18,211084239.0,156048140.0,55036099.0
19,211640995.0,155528870.0,56112125.0
20,209821945.0,153628680.0,56193265.0
21,208802915.0,150326670.0,58476245.0
22,209166544.0,151974920.0,57191624.0
23,208691781.0,151938630.0,56753151.0
24,209320575.0,152033250.0,57287325.0
25,210478613.0,154834040.0,55644573.0
26,210375262.0,155167110.0,55208152.0
27,211381984.0,157262050.0,54119934.0
28,210276074.0,154619150.0,55656924.0
29,210601331.0,155514240.0,55087091.0
30,207709132.0,153849840.0,53859292.0
31,209046903.0,154333770.0,54713133.0
32,209923848.0,153362110.0,56561738.0
33,205062188.0,144393920.0,60668268.0
34,205711797.0,146089100.0,59622697.0
35,206286653.0,149371920.0,56914733.0
36,206661504.0,148908130.0,57753374.0
37,205993071.0,149081600.0,56911471.0
38,206234706.0,149381420.0,56853286.0
39,204624349.0,147339110.0,57285239.0
40,202556786.0,146762650.0,55794136.0
41,203241871.0,147498330.0,55743541.0
42,202796611.0,146429960.0,56366651.0
43,202937791.0,145651340.0,57286451.0
44,203715548.0,147091730.0,56623818.0
45,203603690.0,146859930.0,56743760.0
46,202282571.0,144203920.0,58078651.0
47,201798939.0,143111800.0,58687139.0
48,199834546.0,139284630.0,60549916.0
49,198232877.0,138433050.0,59799827.0
50,199618975.0,140996150.0,58622825.0
51,199290822.0,141740190.0,57550632.0
52,199268921.0,141759760.0,57509161.0
53,199953463.0,143613590.0,56339873.0
54,201149873.0,144930290.0,56219583.0
55,201214490.0,143988840.0,57225650.0
56,198685739.0,138951180.0,59734559.0
57,200452661.0,141530240.0,58922421.0
58,202599864.0,145265070.0,57334794.0
59,201473863.0,144104170.0,57369693.0
60,203473189.0,147266530.0,56206659.0
61,203473189.0,147265010.0,56208179.0
62,201337932.0,145684590.0,55653342.0
63,199221861.0,143488000.0,55733861.0
64,182336914.0,117750790.0,64586124.0
65,176448441.0,111336200.0,65112241.0
66,179375573.0,113896070.0,65479503.0
67,177439054.0,113193450.0,64245604.0
68,176786187.0,113909370.0,62876817.0
69,179011763.0,114114950.0,64896813.0
70,178801984.0,113207130.0,65594854.0
71,179690151.0,115912540.0,63777611.0
72,176576408.0,113512460.0,63063948.0
73,175980375.0,114956650.0,61023725.0
74,176551249.0,114461700.0,62089549.0
75,173873354.0,111548810.0,62324544.0
76,171994574.0,109457290.0,62537284.0
77,171099891.0,108889950.0,62209941.0
78,172419743.0,109282110.0,63137633.0
79,172707714.0,109703340.0,63004374.0
80,174080418.0,112055160.0,62025258.0
81,173521852.0,110823960.0,62697892.0
82,169965021.0,107214340.0,62750681.0
83,170142401.0,108548330.0,61594071.0
84,169484466.0,108062120.0,61422346.0
85,168161356.0,107653240.0,60508116.0
86,168643359.0,107167030.0,61476329.0
87,168087146.0,107680030.0,60407116.0
88,167233912.0,106799760.0,60434152.0
89,168281178.0,106692410.0,61588768.0
90,168794494.0,105234350.0,63560144.0
91,168664898.0,106959740.0,61705158.0
92,168329324.0,107621890.0,60707434.0
93,168668337.0,108032290.0,60636047.0
94,167799718.0,105995870.0,61803848.0
95,167422876.0,106328940.0,61093936.0
96,165249066.0,97439030.0,67810036.0
97,166845305.0,98636600.0,68208705.0
98,167429754.0,102083390.0,65346364.0
99,164938832.0,97409200.0,67529632.0
100,165363096.0,99471270.0,65891826.0
101,156659349.0,92470340.0,64189009.0
102,157601273.0,91514070.0,66087203.0
103,156458801.0,92038090.0,64420711.0
104,152840973.0,85524890.0,67316083.0
105,153833034.0,85517670.0,68315364.0
106,156518712.0,90993660.0,65525052.0
107,155840505.0,89867340.0,65973165.0
108,148831823.0,81022270.0,67809553.0
109,149494464.0,81721280.0,67773184.0
110,148740418.0,80207550.0,68532868.0
111,149334279.0,83782590.0,65551689.0
112,146864353.0,77674470.0,69189883.0
113,145823422.0,76861270.0,68962152.0
114,144364924.0,72335090.0,72029834.0
115,138844424.0,67562860.0,71281564.0
116,138709760.0,64256860.0,74452900.0
117,136370697.0,62858460.0,73512237.0
118,136035847.0,63012360.0,73023487.0
119,133937876.0,59982620.0,73955256.0
120,137416334.0,64114170.0,73302164.0
121,135387143.0,62543060.0,72844083.0
122,135218994.0,63879900.0,71339094.0
123,130759154.0,59635870.0,71123284.0
124,132371140.0,60570290.0,71800850.0
125,129229342.0,59329780.0,69899562.0
126,124027583.0,53687920.0,70339663.0
127,121448876.0,51774050.0,69674826.0
