job_id,subtime,start_time,finish_time,waiting_time
34036,0,0.0,132.0,0.0
34040,297,297.0,321.0,0.0
34041,328,328.0,337.0,0.0
34039,256,256.0,367.0,0.0
34042,455,455.0,571.0,0.0
34051,1326,4800.0,4834.0,3474.0
34049,1307,4800.0,4868.0,3493.0
34047,871,4800.0,4945.0,3929.0
34045,576,4800.0,4953.0,4224.0
34079,3252,4953.0,4961.0,1701.0
34050,1316,4800.0,4990.0,3484.0
34048,1300,4800.0,5000.0,3500.0
34060,1795,5000.0,5038.0,3205.0
34061,1817,5049.0,5077.0,3232.0
34052,1343,4800.0,5138.0,3457.0
34056,1535,4800.0,5140.0,3265.0
34092,4297,5138.0,5179.0,841.0
34070,2349,5121.0,5198.0,2772.0
34065,2030,5049.0,5203.0,3019.0
34063,1924,5140.0,5532.0,3216.0
34044,494,4800.0,5555.0,4306.0
34075,2953,5653.0,5672.0,2700.0
34043,490,4800.0,5921.0,4310.0
34074,2889,5672.0,5951.0,2783.0
34062,1906,5038.0,6066.0,3132.0
34064,1927,5121.0,6132.0,3194.0
34115,6193,6193.0,6238.0,0.0
34078,3239,5951.0,6659.0,2712.0
34086,3968,6659.0,6745.0,2691.0
34080,3267,5921.0,7047.0,2654.0
34105,5274,7047.0,7123.0,1773.0
34104,5175,7047.0,7125.0,1872.0
34109,5587,7125.0,7167.0,1538.0
34106,5450,7123.0,7192.0,1673.0
34111,5731,7167.0,7254.0,1436.0
34123,6928,7192.0,7278.0,264.0
34125,7007,7254.0,7346.0,247.0
34127,7067,7278.0,7407.0,211.0
34130,7161,7346.0,7419.0,185.0
34132,7224,7419.0,7516.0,195.0
34088,4150,7534.0,7559.0,3384.0
34133,7267,7516.0,7575.0,249.0
34089,4161,6745.0,7621.0,2584.0
34135,7385,7575.0,7665.0,190.0
34136,7388,7665.0,7681.0,277.0
34137,7451,7681.0,7733.0,230.0
34073,2846,5555.0,7822.0,2709.0
34072,2800,5532.0,7839.0,2732.0
34138,7556,7733.0,7841.0,177.0
34101,5044,7621.0,7847.0,2577.0
34144,7822,7822.0,7877.0,0.0
34139,7558,7822.0,7883.0,264.0
34146,7892,7892.0,7917.0,0.0
34141,7698,7841.0,7940.0,143.0
34151,8010,8010.0,8013.0,0.0
34148,7923,7923.0,8045.0,0.0
34149,7945,7945.0,8047.0,0.0
34112,5815,7847.0,8073.0,2032.0
34121,6675,8073.0,8189.0,1398.0
34058,1651,4990.0,8443.0,3339.0
34124,6935,8189.0,8471.0,1254.0
34154,8466,8471.0,8554.0,5.0
34158,8772,8772.0,8811.0,0.0
34159,8795,8795.0,8811.0,0.0
34160,8831,8831.0,8928.0,0.0
34161,8852,8852.0,8928.0,0.0
34163,9003,9003.0,9023.0,0.0
34164,9047,9047.0,9085.0,0.0
34166,9098,9098.0,9144.0,0.0
34168,9121,9121.0,9144.0,0.0
34103,5114,7839.0,11376.0,2725.0
34192,9892,11376.0,11381.0,1484.0
34189,9758,11376.0,11393.0,1618.0
34190,9780,11376.0,11493.0,1596.0
34188,9750,11376.0,11513.0,1626.0
34193,9899,11513.0,11609.0,1614.0
34181,9569,11376.0,11626.0,1807.0
34197,10231,11609.0,11633.0,1378.0
34196,10175,11609.0,11650.0,1434.0
34200,10290,11609.0,11686.0,1319.0
34195,10146,11609.0,11690.0,1463.0
34205,10509,11626.0,11710.0,1117.0
34198,10265,11609.0,11712.0,1344.0
34202,10369,11626.0,11719.0,1257.0
34218,11441,11719.0,11736.0,278.0
34219,11479,11719.0,11756.0,240.0
34217,11327,11712.0,11761.0,385.0
34208,10847,11690.0,11794.0,843.0
34220,11536,11756.0,11799.0,220.0
34207,10826,11686.0,11811.0,860.0
34222,11598,11811.0,11873.0,213.0
34169,9137,11844.0,11889.0,2707.0
34215,11136,11710.0,12129.0,574.0
34224,11692,12129.0,12279.0,437.0
34226,11739,12279.0,12402.0,540.0
34179,9541,12421.0,12425.0,2880.0
34172,9196,12359.0,12428.0,3163.0
34228,11883,12402.0,12457.0,519.0
34239,12554,12554.0,12557.0,0.0
34213,11050,11690.0,12650.0,640.0
34211,11028,11690.0,12672.0,662.0
34174,9233,12359.0,12714.0,3126.0
34182,9572,12677.0,12719.0,3105.0
34232,12208,12672.0,12722.0,464.0
34183,9594,12873.0,12915.0,3279.0
34231,12135,12402.0,12941.0,267.0
34175,9240,12873.0,12960.0,3633.0
34230,12110,12402.0,12965.0,292.0
34245,12983,12983.0,13001.0,0.0
34243,12908,12983.0,13040.0,75.0
34173,9208,12873.0,13246.0,3665.0
34177,9381,13271.0,13311.0,3890.0
34178,9451,13271.0,13350.0,3820.0
34180,9565,13271.0,13374.0,3706.0
34185,9632,13354.0,13383.0,3722.0
34248,13032,13032.0,13975.0,0.0
34246,13009,13032.0,13995.0,23.0
34257,14129,14129.0,14307.0,0.0
34261,14392,14392.0,14491.0,0.0
34266,14639,14639.0,14644.0,0.0
34267,14687,14687.0,14747.0,0.0
34234,12277,18111.0,18169.0,5834.0
34279,15528,18169.0,18176.0,2641.0
34280,15572,18176.0,18186.0,2604.0
34274,15273,18174.0,18235.0,2901.0
34277,15445,18174.0,18235.0,2729.0
34131,7168,7407.0,18374.0,239.0
34296,16626,18186.0,18438.0,1560.0
34250,13548,18150.0,18534.0,4602.0
34287,15894,18594.0,18655.0,2700.0
34290,15962,18662.0,18680.0,2700.0
34302,16961,18438.0,18681.0,1477.0
34326,18542,18681.0,18853.0,139.0
34324,18394,18681.0,18875.0,287.0
34335,18950,18950.0,18964.0,0.0
34334,18944,18944.0,18980.0,0.0
34273,15235,18169.0,19115.0,2934.0
34275,15281,19115.0,19140.0,3834.0
34276,15356,19140.0,19157.0,3784.0
34278,15500,19157.0,19169.0,3657.0
34282,15596,19169.0,19180.0,3573.0
34288,15920,19169.0,19182.0,3249.0
34289,15948,19182.0,19201.0,3234.0
34340,19241,19241.0,19249.0,0.0
34305,17070,19201.0,19255.0,2131.0
34306,17083,19201.0,19358.0,2118.0
34256,13947,18169.0,19382.0,4222.0
34343,19419,19419.0,19438.0,0.0
34128,7125,8443.0,19450.0,1318.0
34297,16684,19384.0,19469.0,2700.0
34309,17276,19255.0,19528.0,1979.0
34298,16798,19498.0,19528.0,2700.0
34330,18742,19469.0,19550.0,727.0
34331,18846,19550.0,19570.0,704.0
34319,18115,19450.0,19637.0,1335.0
34318,17972,19382.0,19682.0,1410.0
34348,19657,19657.0,19743.0,0.0
34349,19684,19743.0,19820.0,59.0
34303,16985,19685.0,19860.0,2700.0
34328,18681,19637.0,19892.0,956.0
34357,19961,19961.0,20005.0,0.0
34358,19996,19996.0,20017.0,0.0
34329,18736,19682.0,20050.0,946.0
34332,18872,19892.0,20089.0,1020.0
34327,18547,19450.0,20250.0,903.0
34311,17538,19358.0,20286.0,1820.0
34345,19530,20089.0,20307.0,559.0
34356,19895,20286.0,20309.0,391.0
34359,20108,20286.0,20329.0,178.0
34313,17575,20275.0,20473.0,2700.0
34354,19802,20307.0,20516.0,505.0
34346,19578,20250.0,20573.0,672.0
34317,17834,20534.0,20593.0,2700.0
34368,20481,20534.0,20613.0,53.0
34361,20174,20613.0,20679.0,439.0
34365,20386,20679.0,20745.0,293.0
34360,20128,20573.0,20780.0,445.0
34370,20556,20780.0,20801.0,224.0
34372,20895,20895.0,20945.0,0.0
34371,20883,20883.0,21008.0,0.0
34353,19788,19860.0,21080.0,72.0
34367,20467,20780.0,21086.0,313.0
34342,19293,19528.0,21243.0,235.0
34352,19766,20286.0,21528.0,520.0
34341,19252,20050.0,21806.0,798.0
34374,22088,22088.0,22136.0,0.0
34376,22151,22151.0,22211.0,0.0
34308,17256,19201.0,22664.0,1945.0
34379,22327,22664.0,22733.0,337.0
34382,22503,22733.0,22739.0,230.0
34384,22554,22739.0,22753.0,185.0
34385,22557,22753.0,22783.0,196.0
34377,22216,22664.0,22796.0,448.0
34387,22626,22783.0,22846.0,157.0
34381,22413,22796.0,22878.0,383.0
34389,22724,22796.0,22893.0,72.0
34392,22857,22878.0,22902.0,21.0
34390,22763,22846.0,22918.0,83.0
34375,22101,24801.0,25024.0,2700.0
34396,23067,25024.0,25095.0,1957.0
34378,22238,25027.0,25146.0,2789.0
34397,23194,25095.0,25414.0,1901.0
34407,23865,25414.0,25495.0,1549.0
34402,23521,25414.0,25750.0,1893.0
34380,22374,25601.0,25776.0,3227.0
34424,25808,25808.0,25826.0,0.0
34383,22515,25808.0,25886.0,3293.0
34398,23295,25995.0,26056.0,2700.0
34391,22840,26043.0,26194.0,3203.0
34400,23429,26129.0,26217.0,2700.0
34404,23573,26273.0,26393.0,2700.0
34388,22703,25886.0,26682.0,3183.0
34413,24822,27522.0,27535.0,2700.0
34394,22908,25608.0,28667.0,2700.0
34393,22886,25745.0,28822.0,2859.0
34428,27102,29802.0,29825.0,2700.0
34430,27374,30074.0,30093.0,2700.0
34431,27447,30235.0,30254.0,2788.0
34408,24089,30576.0,30604.0,6487.0
34432,27527,30686.0,30707.0,3159.0
34433,27555,30686.0,30709.0,3131.0
34410,24194,30604.0,30799.0,6410.0
34419,25095,30799.0,30839.0,5704.0
34415,24954,30799.0,30840.0,5845.0
34421,25250,30839.0,30935.0,5589.0
34422,25424,30840.0,31118.0,5416.0
34411,24535,30994.0,31206.0,6459.0
34446,30568,31118.0,31337.0,550.0
34434,27599,33635.0,33739.0,6036.0
34426,26092,36439.0,36885.0,10347.0
34436,27750,36885.0,37345.0,9135.0
34438,28356,37345.0,37814.0,8989.0
34454,31727,37814.0,48740.0,6087.0
34455,42658,48740.0,48825.0,6082.0
34463,44124,48825.0,48849.0,4701.0
34475,48441,48825.0,48873.0,384.0
34473,47990,48825.0,48908.0,835.0
34474,48084,48908.0,49264.0,824.0
34476,48659,49264.0,49381.0,605.0
34478,48784,49381.0,49471.0,597.0
34480,48923,49471.0,49488.0,548.0
34489,51180,54271.0,54442.0,3091.0
34508,54553,54553.0,54837.0,0.0
34514,54927,54927.0,55179.0,0.0
34496,52303,55003.0,55289.0,2700.0
34499,53039,55739.0,55860.0,2700.0
34505,53376,56076.0,56216.0,2700.0
34517,55952,55952.0,57869.0,0.0
34530,57895,57895.0,58838.0,0.0
34533,58847,58847.0,59575.0,0.0
34539,59631,59631.0,59758.0,0.0
34542,60245,62945.0,63355.0,2700.0
34546,60663,63363.0,63466.0,2700.0
34548,60778,63478.0,63592.0,2700.0
34550,61128,63828.0,63951.0,2700.0
34552,61376,64076.0,64164.0,2700.0
34569,63954,63954.0,64170.0,0.0
34571,64245,64245.0,64368.0,0.0
34553,61592,64292.0,64418.0,2700.0
34572,64403,64403.0,64510.0,0.0
34573,64559,64559.0,64679.0,0.0
34560,62489,65189.0,65305.0,2700.0
34562,62765,65465.0,65577.0,2700.0
34602,70008,72708.0,72729.0,2700.0
34603,70141,72841.0,72861.0,2700.0
34634,72949,72949.0,73034.0,0.0
