id,energy_consumption,energy_effective,energy_waste
0,1157767470.0,841624760.0,316142710.0
1,1157767470.0,836524780.0,321242690.0
2,1157767470.0,832084290.0,325683180.0
3,1157767470.0,830649030.0,327118440.0
4,1157767470.0,825271840.0,332495630.0
5,1157767470.0,824719700.0,333047770.0
6,1157767470.0,816925900.0,340841570.0
7,1157767470.0,815645680.0,342121790.0
8,1157767470.0,814910570.0,342856900.0
9,1157767470.0,815248010.0,342519460.0
10,1157767470.0,813081060.0,344686410.0
11,1157767470.0,813390000.0,344377470.0
12,1157767470.0,813894450.0,343873020.0
13,1157767470.0,813814270.0,343953200.0
14,1157767470.0,813877920.0,343889550.0
15,1157767470.0,813668540.0,344098930.0
16,1157767470.0,793420240.0,364347230.0
17,1157767470.0,788677270.0,369090200.0
18,1157767470.0,787404840.0,370362630.0
19,1157767470.0,787022750.0,370744720.0
20,1157767470.0,789153410.0,368614060.0
21,1157767470.0,789152460.0,368615010.0
22,1157767470.0,789319660.0,368447810.0
23,1157767470.0,789275580.0,368491890.0
24,1157767470.0,788276940.0,369490530.0
25,1157767470.0,788196950.0,369570520.0
26,1157767470.0,788056160.0,369711310.0
27,1157767470.0,787975980.0,369791490.0
28,1157767470.0,787627330.0,370140140.0
29,1157767470.0,788024050.0,369743420.0
30,1157767470.0,787711310.0,370056160.0
31,1157767470.0,787690220.0,370077250.0
32,1157767470.0,769263070.0,388504400.0
33,1157767470.0,767110370.0,390657100.0
34,1157767470.0,763765800.0,394001670.0
35,1157767470.0,760794390.0,396973080.0
36,1157767470.0,738729880.0,419037590.0
37,1157767470.0,739226350.0,418541120.0
38,1157767470.0,731050080.0,426717390.0
39,1157767470.0,731393220.0,426374250.0
40,1157767470.0,728638410.0,429129060.0
41,1157767470.0,728128070.0,429639400.0
42,1157767470.0,728352650.0,429414820.0
43,1157767470.0,727431340.0,430336130.0
44,1157767470.0,727655160.0,430112310.0
45,1157767470.0,727789870.0,429977600.0
46,1157767470.0,726790660.0,430976810.0
47,1157767470.0,726161190.0,431606280.0
48,1157767470.0,720931440.0,436836030.0
49,1157767470.0,717049740.0,440717730.0
50,1157767470.0,717317450.0,440450020.0
51,1157767470.0,716821170.0,440946300.0
52,1157767470.0,714987100.0,442780370.0
53,1157767470.0,714700200.0,443067270.0
54,1157767470.0,713698710.0,444068760.0
55,1157767470.0,713936970.0,443830500.0
56,1157767470.0,712667580.0,445099890.0
57,1157767470.0,712071930.0,445695540.0
58,1157767470.0,710236530.0,447530940.0
59,1157767470.0,709973380.0,447794090.0
60,1157767470.0,709576850.0,448190620.0
61,1157767470.0,709107740.0,448659730.0
62,1157767470.0,707111220.0,450656250.0
63,1157767470.0,706577320.0,451190150.0
64,1157767470.0,582806570.0,574960900.0
65,1157767470.0,574385390.0,583382080.0
66,1157767470.0,567484970.0,590282500.0
67,1157767470.0,567260770.0,590506700.0
68,1157767470.0,543844220.0,613923250.0
69,1157767470.0,543515140.0,614252330.0
70,1157767470.0,529241010.0,628526460.0
71,1157767470.0,528534780.0,629232690.0
72,1157767470.0,520375800.0,637391670.0
73,1157767470.0,518969990.0,638797480.0
74,1157767470.0,517644740.0,640122730.0
75,1157767470.0,517575960.0,640191510.0
76,1157767470.0,507349400.0,650418070.0
77,1157767470.0,505087260.0,652680210.0
78,1157767470.0,505083080.0,652684390.0
79,1157767470.0,506090270.0,651677200.0
80,1157767470.0,484313230.0,673454240.0
81,1157767470.0,480448250.0,677319220.0
82,1157767470.0,479620800.0,678146670.0
83,1157767470.0,478389220.0,679378250.0
84,1157767470.0,473967350.0,683800120.0
85,1157767470.0,474597770.0,683169700.0
86,1157767470.0,472250700.0,685516770.0
87,1157767470.0,471784060.0,685983410.0
88,1157767470.0,465599560.0,692167910.0
89,1157767470.0,465744530.0,692022940.0
90,1157767470.0,465256040.0,692511430.0
91,1157767470.0,465039820.0,692727650.0
92,1157767470.0,464032820.0,693734650.0
93,1157767470.0,464317630.0,693449840.0
94,1157767470.0,463398220.0,694369250.0
95,1157767470.0,463314050.0,694453420.0
96,1157767470.0,424618460.0,733149010.0
97,1157767470.0,422042630.0,735724840.0
98,1157767470.0,418356440.0,739411030.0
99,1157767470.0,419642170.0,738125300.0
100,1157767470.0,365719980.0,792047490.0
101,1157767470.0,356774970.0,800992500.0
102,1157767470.0,342468730.0,815298740.0
103,1157767470.0,337632660.0,820134810.0
104,1157767470.0,328766500.0,829000970.0
105,1157767470.0,327092220.0,830675250.0
106,1157767470.0,323968620.0,833798850.0
107,1157767470.0,316410990.0,841356480.0
108,1157767470.0,287905100.0,869862370.0
109,1157767470.0,290826160.0,866941310.0
110,1157767470.0,283274420.0,874493050.0
111,1157767470.0,281324070.0,876443400.0
112,1157767470.0,268792810.0,888974660.0
113,1157767470.0,268268220.0,889499250.0
114,1157767470.0,267117010.0,890650460.0
115,1157767470.0,266948100.0,890819370.0
116,1157767470.0,257739560.0,900027910.0
117,1157767470.0,256235520.0,901531950.0
118,1157767470.0,250314360.0,907453110.0
119,1157767470.0,247338770.0,910428700.0
120,1157767470.0,245496340.0,912271130.0
121,1157767470.0,245138000.0,912629470.0
122,1157767470.0,242016490.0,915750980.0
123,1157767470.0,241155790.0,916611680.0
124,1157767470.0,236614600.0,921152870.0
125,1157767470.0,236098560.0,921668910.0
126,1157767470.0,236094570.0,921672900.0
127,1157767470.0,234836580.0,922930890.0
