id,energy_consumption,energy_effective,energy_waste
0,935704712.0,669398690.0,266306022.0
1,943696224.0,702129040.0,241567184.0
2,938046309.0,698724430.0,239321879.0
3,932435852.0,694296480.0,238139372.0
4,937579872.0,697626800.0,239953072.0
5,934760073.0,701890970.0,232869103.0
6,938582250.0,706401950.0,232180300.0
7,937143481.0,702534880.0,234608601.0
8,933350988.0,692823410.0,240527578.0
9,932013217.0,694430620.0,237582597.0
10,930100771.0,696572870.0,233527901.0
11,922822037.0,685204600.0,237617437.0
12,928137645.0,697419130.0,230718515.0
13,924446150.0,689675680.0,234770470.0
14,922105277.0,685869410.0,236235867.0
15,922329536.0,689919640.0,232409896.0
16,920117897.0,687047220.0,233070677.0
17,917420997.0,689416140.0,228004857.0
18,914918310.0,683931790.0,230986520.0
19,909769765.0,678744980.0,231024785.0
20,907275404.0,676764420.0,230510984.0
21,908769378.0,678108290.0,230661088.0
22,910309688.0,679775350.0,230534338.0
23,911082920.0,678187140.0,232895780.0
24,909018977.0,675977820.0,233041157.0
25,909437811.0,677011230.0,232426581.0
26,905585045.0,672371620.0,233213425.0
27,904305556.0,671788890.0,232516666.0
28,907075037.0,675528280.0,231546757.0
29,908916350.0,680983370.0,227932980.0
30,911966562.0,683687450.0,228279112.0
31,909319437.0,680420590.0,228898847.0
32,905509930.0,660266910.0,245243020.0
33,908842683.0,673632080.0,235210603.0
34,912359151.0,677166080.0,235193071.0
35,909234367.0,668424180.0,240810187.0
36,913635925.0,672252490.0,241383435.0
37,912311548.0,674065850.0,238245698.0
38,915139311.0,683553690.0,231585621.0
39,913429766.0,683181290.0,230248476.0
40,908348553.0,678106580.0,230241973.0
41,907576588.0,676364850.0,231211738.0
42,902084686.0,666261600.0,235823086.0
43,902717100.0,665341240.0,237375860.0
44,904159489.0,669157770.0,235001719.0
45,903464630.0,668155140.0,235309490.0
46,903212497.0,666398780.0,236813717.0
47,900631256.0,664215110.0,236416146.0
48,893209894.0,652215280.0,240994614.0
49,898700167.0,659741940.0,238958227.0
50,900250975.0,661384110.0,238866865.0
51,899837028.0,660012310.0,239824718.0
52,897063203.0,652966920.0,244096283.0
53,891404238.0,650655760.0,240748478.0
54,895750229.0,659289740.0,236460489.0
55,895655928.0,658771610.0,236884318.0
56,900010064.0,663140090.0,236869974.0
57,900214594.0,663921560.0,236293034.0
58,901997987.0,668556800.0,233441187.0
59,897824851.0,666968590.0,230856261.0
60,893954709.0,666034360.0,227920349.0
61,899746890.0,668326140.0,231420750.0
62,897875893.0,665387030.0,232488863.0
63,889504824.0,657328370.0,232176454.0
64,872722142.0,613619060.0,259103082.0
65,850909108.0,590097440.0,260811668.0
66,849100194.0,594923060.0,254177134.0
67,849857317.0,593181520.0,256675797.0
68,853178486.0,605541970.0,247636516.0
69,852298464.0,607077930.0,245220534.0
70,844689586.0,600114050.0,244575536.0
71,839964219.0,596214300.0,243749919.0
72,834612592.0,591515980.0,243096612.0
73,835198851.0,592522980.0,242675871.0
74,834570600.0,591790150.0,242780450.0
75,838221732.0,593393370.0,244828362.0
76,835494967.0,589093480.0,246401487.0
77,832512268.0,584930200.0,247582068.0
78,827324808.0,578694210.0,248630598.0
79,826393744.0,573579980.0,252813764.0
80,811135263.0,556729450.0,254405813.0
81,811658896.0,554473010.0,257185886.0
82,810606743.0,555066000.0,255540743.0
83,805191404.0,550484150.0,254707254.0
84,808732669.0,555013180.0,253719489.0
85,803150810.0,548664900.0,254485910.0
86,802236398.0,551081700.0,251154698.0
87,803118230.0,550133600.0,252984630.0
88,801891050.0,549308430.0,252582620.0
89,799489723.0,546045370.0,253444353.0
90,807333901.0,550215110.0,257118791.0
91,803462492.0,546591810.0,256870682.0
92,798694228.0,540114710.0,258579518.0
93,802056122.0,544123330.0,257932792.0
94,800831838.0,541872210.0,258959628.0
95,796153712.0,535125880.0,261027832.0
96,795685103.0,528611160.0,267073943.0
97,790505969.0,522828130.0,267677839.0
98,784558490.0,520550600.0,264007890.0
99,781584660.0,520976960.0,260607700.0
100,739745605.0,460257140.0,279488465.0
101,723715521.0,447551080.0,276164441.0
102,722871337.0,450654920.0,272216417.0
103,724321509.0,449565460.0,274756049.0
104,727212441.0,446629200.0,280583241.0
105,721341887.0,444514120.0,276827767.0
106,712688639.0,437038760.0,275649879.0
107,710011830.0,425531980.0,284479850.0
108,698936078.0,417369960.0,281566118.0
109,695016342.0,413672180.0,281344162.0
110,699945515.0,416602550.0,283342965.0
111,689305430.0,404234880.0,285070550.0
112,684426575.0,399332120.0,285094455.0
113,671617929.0,387079400.0,284538529.0
114,669568647.0,389338500.0,280230147.0
115,660635211.0,380282340.0,280352871.0
116,655536441.0,370987730.0,284548711.0
117,651745034.0,369943490.0,281801544.0
118,650748267.0,370407470.0,280340797.0
119,647516874.0,371989410.0,275527464.0
120,637988853.0,357211400.0,280777453.0
121,626868575.0,350224340.0,276644235.0
122,633356339.0,357457830.0,275898509.0
123,633236517.0,359311850.0,273924667.0
124,620387146.0,349008530.0,271378616.0
125,624913594.0,356706380.0,268207214.0
126,612240155.0,345326140.0,266914015.0
127,593517877.0,335569640.0,257948237.0
